Course Name,Links
ai for everyone,https://www.coursera.org/learn/ai-for-everyone
ai for medical diagnosis,https://www.coursera.org/learn/ai-for-medical-diagnosis
accounting: principles of financial accounting,https://www.coursera.org/learn/financial-accounting
addiction treatment: clinical skills for healthcare providers,https://www.coursera.org/learn/addiction-treatment
"advanced valuation and strategy - m&a, private equity, and venture capital",https://www.coursera.org/learn/advanced-valuation-and-strategy
agile with atlassian jira,https://www.coursera.org/learn/agile-atlassian-jira
american contract law i,https://www.coursera.org/learn/contracts-1
an introduction to accessibility and inclusive design,https://www.coursera.org/learn/accessibility
an introduction to consumer neuroscience & neuromarketing,https://www.coursera.org/learn/neuromarketing
applied data science capstone,https://www.coursera.org/learn/applied-data-science-capstone
arts and heritage management,https://www.coursera.org/learn/arts-heritage
astronomy: exploring time and space,https://www.coursera.org/learn/astro
auditing i: conceptual foundations of auditing,https://www.coursera.org/learn/auditing-part1-conceptual-foundations
autodesk certified professional: autocad for design and drafting exam prep,https://www.coursera.org/learn/autodesk-autocad-design-drafting
autodesk certified professional: revit for architectural design exam prep,https://www.coursera.org/learn/autodesk-revit-architectural-design
bim fundamentals for engineers,https://www.coursera.org/learn/bim-fundamentals
behavioral finance,https://www.coursera.org/learn/duke-behavioral-finance
biology meets programming: bioinformatics for beginners,https://www.coursera.org/learn/bioinformatics
"brand management: aligning business, brand and behaviour",https://www.coursera.org/learn/brand
build basic generative adversarial networks (gans),https://www.coursera.org/learn/build-basic-generative-adversarial-networks-gans
build a modern computer from first principles: from nand to tetris (project-centered course),https://www.coursera.org/learn/build-a-computer
building ai powered chatbots without programming,https://www.coursera.org/learn/building-ai-powered-chatbots
business model innovation,https://www.coursera.org/learn/business-model
business strategy,https://www.coursera.org/specializations/business-strategy
business writing,https://www.coursera.org/learn/writing-for-business
cobol programming with vscode,https://www.coursera.org/learn/cobol-programming-vscode
covid-19 contact tracing,https://www.coursera.org/learn/covid-19-contact-tracing
chemicals and health,https://www.coursera.org/learn/chemicals-health
chinese for beginners,https://www.coursera.org/learn/learn-chinese
clinical terminology for international and u.s. students,https://www.coursera.org/learn/clinical-terminology
communication strategies for a virtual age,https://www.coursera.org/learn/communication-strategies-virtual-age
construction project management,https://www.coursera.org/learn/construction-project-management
convolutional neural networks,https://www.coursera.org/learn/convolutional-neural-networks
convolutional neural networks in tensorflow,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow
corporate & commercial law i: contracts & employment law,https://www.coursera.org/learn/corporate-commercial-law-part1
corporate strategy,https://www.coursera.org/learn/corporatestrategy
corporate strategy,https://www.coursera.org/learn/corporatestrategy
corporate sustainability. understanding and seizing the strategic opportunity,https://www.coursera.org/learn/corp-sustainability
cost and economics in pricing strategy,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-cost-economics
country level economics: macroeconomic variables and markets,https://www.coursera.org/learn/country-level-economics
crash course on python,https://www.coursera.org/learn/python-crash-course
creative thinking: techniques and tools for success,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success
cultural competence - aboriginal sydney,https://www.coursera.org/learn/cultural-competence-aboriginal-sydney
curanderismo: traditional healing using plants,https://www.coursera.org/learn/curanderismo-plants
cybersecurity compliance framework & system administration,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration
"cybersecurity roles, processes & operating system security",https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security
data management for clinical research,https://www.coursera.org/learn/clinical-data-management
data science math skills,https://www.coursera.org/learn/datasciencemathskills
data science methodology,https://www.coursera.org/learn/data-science-methodology
data visualization and dashboards with excel and cognos,https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos
data visualization with python,https://www.coursera.org/learn/python-for-data-visualization
data visualization with python,https://www.coursera.org/learn/python-for-data-visualization
deep neural networks with pytorch,https://www.coursera.org/learn/deep-neural-networks-with-pytorch
digital product management: modern fundamentals,https://www.coursera.org/learn/uva-darden-digital-product-management
dino 101: dinosaur paleobiology,https://www.coursera.org/learn/dino101
diversity and inclusion in the workplace,https://www.coursera.org/learn/diversity-inclusion-workplace
driving business towards the sustainable development goals,https://www.coursera.org/learn/sdgbusiness
drug discovery,https://www.coursera.org/learn/drug-discovery
economics of money and banking,https://www.coursera.org/learn/money-banking
electric industry operations and markets,https://www.coursera.org/learn/electricity
entrepreneurship,https://www.coursera.org/specializations/wharton-entrepreneurship
entrepreneurship strategy: from ideation to exit,https://www.coursera.org/learn/entrepreneurship-strategy
equine welfare and management,https://www.coursera.org/learn/equine
essentials in clinical simulations across the health professions,https://www.coursera.org/learn/clinicalsimulations
essentials of global health,https://www.coursera.org/learn/essentials-global-health
"ethics, technology and engineering",https://www.coursera.org/learn/ethics-technology-engineering
"everyday excel, part 1",https://www.coursera.org/learn/everyday-excel-part-1
everyday parenting: the abcs of child rearing,https://www.coursera.org/learn/everyday-parenting
excel basics for data analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm
excel fundamentals for data analysis,https://www.coursera.org/learn/excel-data-analysis-fundamentals
excel skills for business: intermediate i,https://www.coursera.org/learn/excel-intermediate-1
exploratory data analysis for machine learning,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning
"federal taxation i: individuals, employees, and sole proprietors",https://www.coursera.org/learn/federal-taxation-individuals
finance for non-finance professionals,https://www.coursera.org/learn/finance-for-non-finance
finance for non-financial managers,https://www.coursera.org/learn/finance-for-non-financial-managers
financial accounting fundamentals,https://www.coursera.org/learn/uva-darden-financial-accounting
financial markets,https://www.coursera.org/learn/financial-markets-global
financial planning for young adults,https://www.coursera.org/learn/financial-planning
financing and investing in infrastructure,https://www.coursera.org/learn/infrastructure-investing
finding purpose and meaning in life: living for what matters most,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life
first step korean,https://www.coursera.org/learn/learn-korean
forensic accounting and fraud examination,https://www.coursera.org/learn/forensic-accounting
formal financial accounting,https://www.coursera.org/learn/formal-financial-accounting
foundations for assisting in home care,https://www.coursera.org/learn/home-care
foundations of business strategy,https://www.coursera.org/learn/uva-darden-foundations-business-strategy
foundations of teaching for learning: introduction,https://www.coursera.org/learn/teaching
fundamentals of engineering exam review,https://www.coursera.org/learn/fe-exam
fundamentals of gis,https://www.coursera.org/learn/gis
fundamentals of graphic design,https://www.coursera.org/learn/fundamentals-of-graphic-design
fundamentals of music theory,https://www.coursera.org/learn/edinburgh-music-theory
fundamentals of project planning and management,https://www.coursera.org/learn/uva-darden-project-management
fundamentals of reinforcement learning,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning
fundamentals of social media advertising,https://www.coursera.org/learn/social-media-advertising-fundamentals
getting started with ai using ibm watson,https://www.coursera.org/learn/ai-with-ibm-watson
getting started with power bi desktop,https://www.coursera.org/projects/power-bi-desktop
getting started with sas programming,https://www.coursera.org/learn/sas-programming-basics
giving helpful feedback,https://www.coursera.org/learn/feedback
global diplomacy: the united nations in the world,https://www.coursera.org/learn/global-diplomacy-un
"html, css, and javascript for web developers",https://www.coursera.org/learn/html-css-javascript-for-web-developers
healing with the arts,https://www.coursera.org/learn/healing-with-the-arts
health behavior change: from evidence to action,https://www.coursera.org/learn/health-behavior-change
how things work: an introduction to physics,https://www.coursera.org/learn/how-things-work
how to write and publish a scientific paper (project-centered course),https://www.coursera.org/learn/how-to-write-a-scientific-paper
it security: defense against the digital dark arts,https://www.coursera.org/learn/it-security
"improving deep neural networks: hyperparameter tuning, regularization and optimization",https://www.coursera.org/learn/deep-neural-network
industrial biotechnology,https://www.coursera.org/learn/industrial-biotech
"information systems auditing, controls and assurance",https://www.coursera.org/learn/information-systems-audit
innovation management,https://www.coursera.org/learn/innovation-management
"innovation through design: think, make, break, repeat",https://www.coursera.org/learn/innovation-through-design
inspiring and motivating individuals,https://www.coursera.org/learn/motivate-people-teams
instructional design foundations and applications,https://www.coursera.org/learn/instructional-design-foundations-applications
instructional methods in health professions education,https://www.coursera.org/learn/instructional-methods-education
international humanitarian law in theory and practice,https://www.coursera.org/learn/international-humanitarian-law
international law in action: investigating and prosecuting international crimes,https://www.coursera.org/learn/international-law-in-action-2
international law in action: the arbitration of international disputes,https://www.coursera.org/learn/arbitration-international-disputes
international leadership and organizational behavior,https://www.coursera.org/learn/organizational-behavior
international organizations management,https://www.coursera.org/learn/international-organizations-management
introduction to artificial intelligence (ai),https://www.coursera.org/learn/introduction-to-ai
introduction to calculus,https://www.coursera.org/learn/introduction-to-calculus
introduction to chemistry: reactions and ratios,https://www.coursera.org/learn/intro-chemistry
introduction to cloud computing,https://www.coursera.org/learn/introduction-to-cloud
introduction to cybersecurity tools & cyber attacks,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks
introduction to data analytics,https://www.coursera.org/learn/introduction-to-data-analytics
introduction to data science in python,https://www.coursera.org/learn/python-data-analysis
introduction to deep learning & neural networks with keras,https://www.coursera.org/learn/introduction-to-deep-learning-with-keras
introduction to engineering mechanics,https://www.coursera.org/learn/engineering-mechanics-statics
introduction to english common law,https://www.coursera.org/learn/intro-common-law
introduction to environmental law and policy,https://www.coursera.org/learn/environmental-law
introduction to finance: the basics,https://www.coursera.org/learn/introduction-to-finance-the-basics
introduction to forensic science,https://www.coursera.org/learn/forensic-science
introduction to git and github,https://www.coursera.org/learn/introduction-git-github
introduction to machine learning,https://www.coursera.org/learn/machine-learning-duke
introduction to negotiation: a strategic playbook for becoming a principled and persuasive negotiator,https://www.coursera.org/learn/negotiation
introduction to philosophy,https://www.coursera.org/learn/philosophy
introduction to probability and data with r,https://www.coursera.org/learn/probability-intro
introduction to programming with matlab,https://www.coursera.org/learn/matlab
introduction to project management,https://www.coursera.org/learn/introduction-to-project-management
introduction to project management,https://www.coursera.org/projects/introduction-project-management
introduction to psychology,https://www.coursera.org/learn/introduction-psych
introduction to psychology,https://www.coursera.org/learn/introduction-psych
introduction to psychology,https://www.coursera.org/learn/introduction-psychology
introduction to psychology,https://www.coursera.org/learn/introduction-psychology
introduction to self-driving cars,https://www.coursera.org/learn/intro-self-driving-cars
introduction to social media marketing,https://www.coursera.org/learn/social-media-marketing-introduction
introduction to sustainability,https://www.coursera.org/learn/sustainability
introduction to systematic review and meta-analysis,https://www.coursera.org/learn/systematic-review
introduction to systems engineering,https://www.coursera.org/learn/systems-engineering
"introduction to tensorflow for artificial intelligence, machine learning, and deep learning",https://www.coursera.org/learn/introduction-tensorflow
introduction to user experience design,https://www.coursera.org/learn/user-experience-design
introduction to web development,https://www.coursera.org/learn/web-development
introductory human physiology,https://www.coursera.org/learn/physiology
leadership in 21st century organizations,https://www.coursera.org/learn/leadership-21st-century
leading healthcare quality and safety,https://www.coursera.org/learn/quality-healthcare
learn to program: the fundamentals,https://www.coursera.org/learn/learn-to-program
learn to speak korean 1,https://www.coursera.org/learn/learn-speak-korean1
learning how to learn: powerful mental tools to help you master tough subjects,https://www.coursera.org/learn/learning-how-to-learn
linear circuits 1: dc analysis,https://www.coursera.org/learn/linear-circuits-dcanalysis
machine learning for all,https://www.coursera.org/learn/uol-machine-learning-for-all
machine learning with python,https://www.coursera.org/learn/machine-learning-with-python
making architecture,https://www.coursera.org/learn/making-architecture
management of fashion and luxury companies,https://www.coursera.org/learn/mafash
managerial accounting fundamentals,https://www.coursera.org/learn/uva-darden-managerial-accounting
managing the company of the future,https://www.coursera.org/learn/company-future-management
mastering final cut pro,https://www.coursera.org/learn/mastering-final-cut-pro
mathematics for machine learning: linear algebra,https://www.coursera.org/learn/linear-algebra-machine-learning
medical neuroscience,https://www.coursera.org/learn/medical-neuroscience
microeconomics principles,https://www.coursera.org/learn/microeconomics
miracles of human language: an introduction to linguistics,https://www.coursera.org/learn/human-language
model thinking,https://www.coursera.org/learn/model-thinking
moral foundations of politics,https://www.coursera.org/learn/moral-politics
natural language processing,https://www.coursera.org/specializations/natural-language-processing
natural language processing in tensorflow,https://www.coursera.org/learn/natural-language-processing-tensorflow
natural language processing with attention models,https://www.coursera.org/learn/attention-models-in-nlp
natural language processing with classification and vector spaces,https://www.coursera.org/learn/classification-vector-spaces-in-nlp
natural language processing with probabilistic models,https://www.coursera.org/learn/probabilistic-models-in-nlp
natural language processing with sequence models,https://www.coursera.org/learn/sequence-models-in-nlp
neural networks and deep learning,https://www.coursera.org/learn/neural-networks-deep-learning
object oriented programming in java,https://www.coursera.org/specializations/object-oriented-programming
object-oriented data structures in c++,https://www.coursera.org/learn/cs-fundamentals-1
oil & gas industry operations and markets,https://www.coursera.org/learn/oilandgas
operating systems and you: becoming a power user,https://www.coursera.org/learn/os-power-user
politics and economics of international energy,https://www.coursera.org/learn/global-energy
positive psychiatry and mental health,https://www.coursera.org/learn/positive-psychiatry
precision medicine,https://www.coursera.org/learn/precision-medicine
principles of sustainable finance,https://www.coursera.org/learn/sustainable-finance
private equity and venture capital,https://www.coursera.org/learn/private-equity
"programming languages, part a",https://www.coursera.org/learn/programming-languages
programming for everybody (getting started with python),https://www.coursera.org/learn/python
psychological first aid,https://www.coursera.org/learn/psychological-first-aid
python basics,https://www.coursera.org/learn/python-basics
python data structures,https://www.coursera.org/learn/python-data
python data structures,https://www.coursera.org/learn/python-data
"python functions, files, and dictionaries",https://www.coursera.org/learn/python-functions-files-dictionaries
python and statistics for financial analysis,https://www.coursera.org/learn/python-statistics-financial-analysis
queering identities: lgbtq+ sexuality and gender identity,https://www.coursera.org/learn/queeringidentities
reducing gun violence in america: evidence for change,https://www.coursera.org/learn/gun-violence
sql for data science,https://www.coursera.org/learn/sql-for-data-science
science of exercise,https://www.coursera.org/learn/science-exercise
sequence models,https://www.coursera.org/learn/nlp-sequence-models
"sequences, time series and prediction",https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction
site reliability engineering: measuring and managing reliability,https://www.coursera.org/learn/site-reliability-engineering-slos
social media management,https://www.coursera.org/learn/social-media-management
social psychology,https://www.coursera.org/learn/social-psychology
solar energy basics,https://www.coursera.org/learn/solar-energy-basics
solar energy system design,https://www.coursera.org/learn/solar-energy-system-design
"speak english professionally: in person, online & on the phone",https://www.coursera.org/learn/speak-english-professionally
sports marketing,https://www.coursera.org/learn/sports-marketing
structuring machine learning projects,https://www.coursera.org/learn/machine-learning-projects
successful negotiation: essential strategies and skills,https://www.coursera.org/learn/negotiation-skills
supply chain logistics,https://www.coursera.org/learn/supply-chain-logistics
supply chain principles,https://www.coursera.org/learn/supply-chain-principles
sustainable fashion,https://www.coursera.org/learn/sustainable-fashion
system administration and it infrastructure services,https://www.coursera.org/learn/system-administration-it-infrastructure-services
teach english now! foundational principles,https://www.coursera.org/learn/english-principles
teamwork skills: communicating effectively in groups,https://www.coursera.org/learn/teamwork-skills-effective-communication
technical support fundamentals,https://www.coursera.org/learn/technical-support-fundamentals
the arts and science of relationships: understanding human needs,https://www.coursera.org/learn/human-needs
the bits and bytes of computer networking,https://www.coursera.org/learn/computer-networking
the manager's toolkit: a practical guide to managing people at work,https://www.coursera.org/learn/people-management
"the modern world, part one: global history from 1760 to 1910",https://www.coursera.org/learn/modern-world
the science of well-being,https://www.coursera.org/learn/the-science-of-well-being
the strategy of content marketing,https://www.coursera.org/learn/content-marketing
tools for data science,https://www.coursera.org/learn/open-source-tools-for-data-science
translation in practice,https://www.coursera.org/learn/translation-in-practice
understanding clinical research: behind the statistics,https://www.coursera.org/learn/clinical-research
understanding research methods,https://www.coursera.org/learn/research-methods
understanding child development: from synapse to society,https://www.coursera.org/learn/child-development
understanding the brain: the neurobiology of everyday life,https://www.coursera.org/learn/neurobiology
using python to access web data,https://www.coursera.org/learn/python-network-data
using python to interact with the operating system,https://www.coursera.org/learn/python-operating-system
visual elements of user interface design,https://www.coursera.org/learn/visual-elements-user-interface-design
weight management: beyond balancing calories,https://www.coursera.org/learn/weight-management-beyond-balancing-calories
what is data science?,https://www.coursera.org/learn/what-is-datascience
wind energy,https://www.coursera.org/learn/wind-energy
wine tasting: sensory techniques for wine analysis,https://www.coursera.org/learn/wine
write a feature length screenplay for film or television,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television
write professional emails in english,https://www.coursera.org/learn/professional-emails-english
write your first novel,https://www.coursera.org/learn/write-your-first-novel
